model_rank,grid_id,latitude,longitude,police_station,junction_name,history,peak_hour_weight_score,junction_proximity_score,repeat_hotspot_density_score,last_month,prev_month,station,trend_raw,trend,peak_junction,model_priority_score
2649,"12.973,77.701",12.972682763692797,77.70073458213224,Mahadevapura,No Junction,27.386661833824764,100.0,0.0,11.538461538461538,0.0,0.0,11.437018480289666,0.0,51.30637242162633,55.00000000000001,19.170663283677335
2650,"12.999,77.554",12.998520033333334,77.55428373333334,Malleshwaram,BTP008 - Navarang Theatre,27.381167825243804,0.0,100.0,0.9615384615384616,0.0,19.72806491003335,45.76683183077331,-19.72806491003335,29.198264862235348,45.0,19.166817477670662
2651,"13.036,77.625",13.035916426530614,77.62528881020408,K.G. Halli,No Junction,27.376828856210103,0.0,0.0,4.807692307692308,0.0,0.0,3.42877591591668,0.0,51.30637242162633,0.0,19.16378019934707
2652,"12.973,77.609",12.97314562051282,77.60923007692308,Ashok Nagar,No Junction,27.36575637346938,30.76923076923077,0.0,2.243589743589743,0.0,12.688172043010752,33.15323442077926,-12.688172043010752,37.08746785403865,16.923076923076923,19.156029461428567
2653,"12.94,77.524",12.939992972413792,77.52410284827586,Byatarayanapura,No Junction,23.59100953870334,13.793103448275861,0.0,2.0604395604395607,8.793584972634717,14.890286898908819,32.6032963136412,-7.279873158439464,43.14823732122681,7.586206896551724,19.15178216888275
2654,"13.064,77.588",13.063738821568627,77.5880844882353,Kodigehalli,No Junction,25.2771363185451,0.0,0.0,2.3411371237458196,4.822711789276496,12.315993318692396,13.740065207332563,-8.14217431521985,42.18190601556528,0.0,19.140808959764517
2655,"12.998,77.556",12.998318566666667,77.55604616666666,Rajajinagar,BTP008 - Navarang Theatre,27.324607496817105,0.0,100.0,0.9615384615384616,0.0,19.728064910033346,37.834312884096626,-19.728064910033346,29.198264862235348,45.0,19.12722524777197
2656,"12.955,77.57",12.9551905,77.5697179,V.V.Puram (C.Pet),BTP217 - Baleyele Junction,27.321314463570477,0.0,100.0,0.0,0.0,20.007680491551458,54.48838186767004,-20.007680491551458,28.88491576389879,45.0,19.124920124499333
2657,"12.967,77.575",12.967277700000002,77.57472946666667,City Market,"BTP083 - AS Char Street, Mysore Road",27.301765825721702,0.0,100.0,0.0,0.0,0.0,82.0126412123074,0.0,51.30637242162633,45.0,19.11123607800519
2658,"12.988,77.617",12.988442449999999,77.61736557142856,Pulikeshinagar(F.Town),No Junction,21.66046539858564,42.857142857142854,0.0,1.4423076923076923,13.15720488007247,1.2954429083461343,11.307740281688305,10.091468472743609,62.6153006639575,23.571428571428573,19.109487243031687
2659,"12.988,77.536",12.988129833333332,77.53648336666667,Vijayanagara,BTP208 - Havanur Circle,27.285667886092565,0.0,100.0,3.8461538461538463,0.0,0.0,60.68434351365515,0.0,51.30637242162633,45.0,19.099967520264794
2660,"12.855,77.665",12.854973552631579,77.66486015,Electronic City,No Junction,27.28432325237034,26.31578947368421,0.0,4.72027972027972,0.0,3.624550806869877,6.402994085436653,-3.624550806869877,47.24454682148838,14.473684210526317,19.099026276659234
2661,"12.97,77.643",12.970266738709677,77.64303303870967,Jeevanbheemanagar,No Junction,27.276687278027236,29.03225806451613,0.0,5.528846153846153,0.0,20.81757156090593,21.155098467257545,-20.81757156090593,27.977317428515544,15.967741935483874,19.093681094619065
2662,"12.973,77.575",12.972863633333333,77.57473513333333,Upparpet,BTP043 - Upparpet Junction,27.276313677929696,0.0,100.0,0.0,0.0,0.0,100.0,0.0,51.30637242162633,45.0,19.093419574550786
2663,"12.968,77.568",12.967853411111111,77.56802868888889,Chamarajpet,BTP085 - Briyand Circle,27.272371767089098,0.0,66.66666666666666,0.5494505494505497,0.0,23.89259993135584,51.537909226816545,-23.89259993135584,24.53131001359112,29.999999999999996,19.090660236962368
2664,"13.063,77.593",13.062610452307693,77.59283211538462,Kodigehalli,No Junction,27.26880398032587,1.5384615384615385,0.0,3.2852564102564106,0.0,14.025762320323935,13.740065207332563,-14.025762320323935,35.58850737027646,0.8461538461538463,19.088162786228107
2665,"12.97,77.568",12.9696547,77.5681445,Chamarajpet,No Junction,19.215523272905838,100.0,0.0,1.9230769230769231,18.788796007438773,0.0,51.537909226816545,16.260775525211677,69.52888821067664,55.00000000000001,19.08750509326572
2666,"12.954,77.594",12.954265000000001,77.59354136666667,Wilson Garden,"BTP102 - BMTC Junction, KH Road",27.265219151969074,0.0,100.0,0.9615384615384616,0.0,16.80747567844342,49.117041909938614,-16.80747567844342,32.47120121778995,45.0,19.085653406378352
2667,"12.954,77.596",12.953668749999999,77.59576369999999,Wilson Garden,"BTP102 - BMTC Junction, KH Road",27.256705165329205,0.0,100.0,1.9230769230769231,0.0,0.0,49.117041909938614,0.0,51.30637242162633,45.0,19.07969361573044
2668,"12.884,77.643",12.883693306666666,77.6429249888889,Hulimavu,No Junction,25.224913691006567,2.2222222222222223,0.0,1.2820512820512822,4.722345023407389,12.229215788649816,6.30846288704514,-8.142259266910685,42.18181081509189,1.2222222222222223,19.07414309072681
2669,"13.01,77.552",13.010152966666666,77.5520833,Malleshwaram,BTP023 - Mahalaxmi Layout Entrance,27.236938987755728,0.0,100.0,0.9615384615384616,0.0,0.0,45.76683183077331,0.0,51.30637242162633,45.0,19.06585729142901
